is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,target,source
1,0,0,1,0,0,31,0,0,6,0,original
0,1,1,1,0,12,0,4,0,116,0,original
1,1,0,1,0,2,9,4,0,279,0,original
1,1,0,1,0,3,0,5,0,10,0,original
1,1,1,1,0,2,2,4,0,287,0,original
1,1,0,0,12,43,0,43,0,9,1,original
1,1,0,1,0,2,0,3,0,11,0,original
1,1,0,1,0,2,1,3,0,29,0,original
1,1,0,0,18,18,0,18,0,6,1,original
1,0,0,1,0,0,2,0,0,80,0,original
1,1,0,1,0,1,0,13,1,0,0,original
1,1,0,1,0,3,14,5,0,83,0,original
1,0,0,1,0,0,13,0,0,29,0,original
1,0,0,1,0,0,12,0,0,33,0,original
1,1,1,1,0,1,2,2,0,34,0,original
1,0,0,1,0,0,3,0,0,17,0,original
1,1,0,0,10,10,14,23,0,738,0,original
1,1,0,0,2,2,14,9,0,4,0,original
1,1,0,1,0,5,0,8,0,8,0,original
1,1,0,0,3,3,33,3,0,1,0,original
1,1,0,0,2,10,2,3,0,28,0,original
1,1,0,1,0,1,1,4,0,30,0,original
1,1,0,0,8,8,0,8,0,3,1,original
0,1,1,1,0,1,0,2,1,0,0,original
1,1,1,1,0,17,2,5,0,23,0,original
1,0,0,1,0,0,10,0,0,713,0,original
1,1,0,1,0,2,21,3,0,61,0,original
1,0,0,1,0,0,2,0,0,354,0,original
1,0,0,1,0,0,17,0,0,65,0,original
1,1,0,0,9,9,14,18,0,10,0,original
1,0,0,1,0,0,7,0,0,8,0,original
1,0,0,1,0,0,8,0,0,71,0,original
1,1,0,1,0,3,32,5,0,27,0,original
0,1,1,1,0,3,0,4,0,16,0,original
0,1,1,1,0,13,0,5,0,14,0,original
1,1,0,0,9,40,0,40,0,3,1,original
1,0,0,1,0,0,33,0,0,8,0,original
0,1,1,1,0,4,0,6,0,38,0,original
1,1,0,1,0,1,0,2,1,0,0,original
1,0,0,1,0,0,21,0,0,11,0,original
1,1,0,0,1,32,0,32,0,3,1,original
1,0,0,1,0,0,10,0,0,17,0,original
1,0,0,1,0,0,1,0,0,133,0,original
1,1,0,1,0,7,20,11,0,22,0,original
1,1,0,0,10,41,0,41,0,3,1,original
1,0,0,1,0,0,25,0,0,46,0,original
1,1,0,0,16,16,0,16,0,3,1,original
1,0,0,1,0,0,2,0,0,25,0,original
0,1,1,1,0,8,0,13,0,24,1,original
1,0,0,1,0,0,7,0,0,13,0,original
1,0,0,1,0,0,2,0,0,131,0,original
1,1,0,1,0,2,3,3,0,3,0,original
1,1,0,1,0,2,1,1,0,7,0,original
1,1,0,0,3,7,21,16,0,21,0,original
1,1,0,0,1,6,2,8,0,1351,1,original
1,1,0,0,7,38,0,38,0,3,1,original
1,1,0,0,10,10,0,10,0,3,1,original
0,1,1,1,0,9,0,14,0,14,1,original
1,1,0,1,0,1,0,8,1,0,0,original
1,1,0,0,9,9,22,26,0,18,0,original
1,0,0,1,0,0,12,0,0,62,0,original
1,1,0,1,0,1,2,2,0,28,0,original
1,1,0,1,0,4,0,6,0,10,0,original
1,1,0,1,0,2,0,1,0,12,0,original
1,1,0,1,0,1,8,2,0,767,0,original
1,1,0,1,0,1,1,2,0,61,0,original
1,1,0,0,5,36,0,36,0,3,1,original
1,1,0,0,19,19,0,19,0,4,1,original
1,0,0,1,0,0,8,0,0,99909,0,original
1,0,0,1,0,0,5,0,0,5312,0,original
1,1,0,0,2,33,0,33,0,3,1,original
1,0,0,1,0,0,32,0,0,9,0,original
1,0,0,1,0,0,4,0,0,4105,0,original
1,1,0,1,0,1,3,2,0,90,0,original
1,1,1,1,0,15,2,2,0,2118,0,original
1,1,0,0,5,5,14,12,0,15,0,original
1,1,0,0,11,11,14,4,0,7973,0,original
1,1,0,1,0,8,21,22,0,78,0,original
1,1,0,0,13,44,0,44,0,3,1,original
1,1,1,1,0,7,2,10,0,285,1,original
1,1,0,0,8,8,22,24,0,279,0,original
1,1,0,0,12,12,14,6,0,8,0,original
1,0,0,1,0,0,1,0,0,7,0,original
1,1,0,0,8,8,14,17,0,4,0,original
1,1,0,1,0,3,21,6,0,7,0,original
1,0,0,1,0,0,2,0,0,113,0,original
1,1,1,1,0,16,2,4,0,5637,0,original
1,1,0,0,20,20,0,20,0,3,1,original
1,1,0,0,13,13,0,13,0,4,1,original
1,1,0,0,17,17,0,17,0,4,1,original
1,1,0,0,14,45,0,45,0,8,1,original
1,1,1,1,0,5,0,18,0,87,1,original
1,1,0,0,7,7,14,15,0,12,0,original
1,0,0,1,0,0,3,0,0,10,0,original
1,1,0,0,7,7,0,7,0,3,1,original
1,1,1,1,0,3,1,5,0,146,0,original
1,1,0,1,0,4,21,7,0,3,0,original
1,0,0,1,0,0,1,0,0,15,0,original
1,1,0,1,0,7,1,10,0,30,1,original
1,0,0,1,0,0,3,0,0,9,0,original
1,0,0,1,0,0,4,0,0,161,0,original
1,0,0,1,0,0,8,0,0,13,0,original
1,1,0,0,3,3,14,10,0,6,0,original
1,1,1,1,0,6,9,10,0,662,0,original
1,1,0,0,13,13,14,7,0,6,0,original
1,1,0,0,1,1,14,7,0,322997,0,original
1,1,0,0,5,5,0,5,0,3,0,original
1,1,0,0,1,1,0,1,1,0,0,original
1,1,0,1,0,5,9,8,0,59,0,original
1,1,0,1,0,7,0,11,0,15,1,original
1,1,1,1,0,5,1,7,0,0,1,original
1,1,0,1,0,2,14,3,0,9,0,original
1,1,0,0,12,12,0,12,0,3,1,original
1,1,0,1,0,8,0,12,0,21,1,original
1,1,0,1,0,1,0,5,1,0,0,original
1,1,0,1,0,1,5,2,0,9,0,original
0,1,1,1,0,5,0,8,0,54,1,original
1,1,0,1,0,1,0,12,1,0,0,original
1,1,0,0,1,5,21,14,0,355,0,original
1,0,0,1,0,0,1,0,1,0,0,original
1,1,0,0,3,3,22,4,0,106,0,original
1,1,0,0,17,17,0,17,0,4,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,7,0,11,0,18,1,smote
0,1,0,1,0,6,0,10,0,13,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
0,1,0,1,0,7,0,11,0,27,1,smote
1,1,0,0,16,16,0,16,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,0,3,0,11,0,39,1,smote
1,1,0,0,0,3,0,12,0,38,1,smote
1,1,0,1,0,7,0,11,0,16,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
0,1,0,0,0,5,0,9,0,9,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
0,1,0,1,0,5,0,8,0,49,1,smote
1,1,0,1,0,6,0,16,0,16,1,smote
1,1,0,0,0,4,0,10,0,30,1,smote
1,1,0,0,17,17,0,17,0,4,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,17,17,0,17,0,3,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,1,0,6,1,9,0,28,1,smote
0,1,0,0,0,5,0,12,0,32,1,smote
1,1,0,0,17,17,0,17,0,5,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
0,1,0,1,0,6,0,10,0,21,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,1,0,6,0,9,0,20,1,smote
1,1,0,0,19,19,0,19,0,3,1,smote
0,1,0,0,0,5,0,10,0,9,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,0,14,14,0,14,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,6,0,14,0,14,1,smote
1,1,0,0,1,4,0,13,0,8,1,smote
1,1,0,0,16,16,0,16,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,0,10,10,0,10,0,3,1,smote
1,1,0,0,12,12,0,12,0,3,1,smote
1,1,0,1,0,6,0,17,0,15,1,smote
1,1,0,0,8,8,0,8,0,3,1,smote
1,1,0,1,0,7,0,10,0,21,1,smote
1,1,0,0,18,18,0,18,0,4,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,19,19,0,19,0,3,1,smote
1,1,0,0,11,11,0,11,0,3,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
0,1,0,1,0,7,0,11,0,14,1,smote
1,1,0,0,10,10,0,10,0,3,1,smote
1,1,0,0,7,7,0,7,0,3,1,smote
1,1,0,1,0,6,1,9,0,28,1,smote
1,1,0,0,9,9,0,9,0,3,1,smote
1,1,0,0,13,13,0,13,0,3,1,smote
1,1,0,0,8,8,0,8,0,3,1,borderline smote
1,1,0,0,0,2,0,10,0,67,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,0,0,7,0,12,0,25,1,borderline smote
0,1,0,0,0,6,0,13,0,11,1,borderline smote
1,1,0,1,0,7,0,11,0,22,1,borderline smote
1,1,0,0,0,6,0,10,0,31,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,0,6,7,0,7,0,3,1,borderline smote
1,1,0,0,0,2,0,11,0,43,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,1,0,6,0,10,0,31,1,borderline smote
1,1,0,1,0,6,0,9,0,19,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
1,1,0,1,0,5,1,8,0,21,1,borderline smote
0,1,0,1,0,6,0,9,0,21,1,borderline smote
1,1,0,0,0,6,0,19,0,6,1,borderline smote
1,1,0,1,0,4,0,10,0,50,1,borderline smote
1,1,0,1,0,6,0,9,0,21,1,borderline smote
1,1,0,0,9,9,0,9,0,3,1,borderline smote
1,1,0,1,0,5,0,10,0,39,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
0,1,0,1,0,6,0,9,0,36,1,borderline smote
1,1,0,0,0,5,0,16,0,12,1,borderline smote
1,1,0,0,0,3,0,12,0,49,1,borderline smote
1,1,0,0,8,8,0,8,0,3,1,borderline smote
1,1,0,0,0,3,0,11,0,41,1,borderline smote
1,1,0,1,0,5,1,8,0,22,1,borderline smote
1,1,0,0,0,4,0,10,0,28,1,borderline smote
0,1,0,0,0,7,0,8,0,10,1,borderline smote
0,1,0,1,0,5,0,8,0,41,1,borderline smote
1,1,0,1,0,6,0,10,0,15,1,borderline smote
0,1,0,1,0,6,0,10,0,22,1,borderline smote
0,1,0,1,0,5,0,8,0,51,1,borderline smote
0,1,0,1,0,7,0,12,0,23,1,borderline smote
1,1,0,0,1,4,0,14,0,8,1,borderline smote
1,1,0,0,0,5,0,17,0,7,1,borderline smote
0,1,0,0,0,4,0,12,0,37,1,borderline smote
1,1,0,1,0,5,1,8,0,20,1,borderline smote
0,1,0,1,0,6,0,10,0,14,1,borderline smote
1,1,0,0,0,5,0,18,0,13,1,borderline smote
0,1,0,0,0,7,0,13,0,12,1,borderline smote
1,1,0,1,0,5,1,8,0,20,1,borderline smote
1,1,0,0,0,6,0,18,0,6,1,borderline smote
0,1,0,1,0,5,0,8,0,32,1,borderline smote
1,1,0,0,0,2,0,10,0,65,1,borderline smote
0,1,0,1,0,5,0,11,0,42,1,borderline smote
1,1,0,1,0,6,0,10,0,17,1,borderline smote
0,1,0,0,0,6,0,8,0,10,1,borderline smote
1,1,0,0,7,7,0,7,0,3,1,borderline smote
0,1,0,1,0,6,0,9,0,37,1,borderline smote
1,1,0,0,8,8,0,8,0,3,1,borderline smote
